Condition	Factor	Replicate	File
wt	ChIP	1	SX1316-wt/SX1316-36035064.merge.rmdup.bam
wt	ChIP	2	SX1316-wt/SX1316_ChIP_2-40308499.merge.rmdup.bam
wt	ChIP	3	SX1316-wt/SX1316_ChIP_3-40295662.merge.rmdup.bam
wt	input	1	SX1316-wt/input_SX1316-36042075.merge.rmdup.bam
wt	input	2	SX1316-wt/SX1316_input_2-40302625.merge.rmdup.bam
wt	input	3	SX1316-wt/SX1316_input_3-40294652.merge.rmdup.bam
hrde1	ChIP	0	SX2000-hrde1/SX2000-36051079.merge.rmdup.bam
hrde1	ChIP	1	SX2000-hrde1/SX2000_ChIP_1-40304598.merge.rmdup.bam
hrde1	ChIP	2	SX2000-hrde1/SX2000_ChIP_2-40295665.merge.rmdup.bam
hrde1	ChIP	3	SX2000-hrde1/SX2000_ChIP_3-40299604.merge.rmdup.bam
hrde1	input	0	SX2000-hrde1/input_SX2000-36035065.merge.rmdup.bam
hrde1	input	1	SX2000-hrde1/SX2000_input_1-40304601.merge.rmdup.bam
hrde1	input	2	SX2000-hrde1/SX2000_input_2-40295667.merge.rmdup.bam
hrde1	input	3	SX2000-hrde1/SX2000_input_3-40302632.merge.rmdup.bam
emb4	ChIP	0	SX2929-emb4/SX2929-36042074.merge.rmdup.bam
emb4	ChIP	1	SX2929-emb4/SX2929_ChIP_1-40300620.merge.rmdup.bam
emb4	ChIP	2	SX2929-emb4/SX2929_ChIP_2-40298667.merge.rmdup.bam
emb4	input	0	SX2929-emb4/input_SX2929-36051081.merge.rmdup.bam
emb4	input	1	SX2929-emb4/SX2929_input_1-40296682.merge.rmdup.bam
emb4	input	2	SX2929-emb4/SX2929_input_2-40298670.merge.rmdup.bam
